"Key","Meaning1","Meaning2","Meaning3","Meaning4","user_id"
"saravacha","सरावाचा","customary","habitual","",""
"sarasari","सरासरी","an average","mean","on an average",""
"sarita","सरिता","a river","","",""
"suru","सरू","a cypress","","",""
"saroj","सरोज","a lotus","","",""
"sarovar","सरोवर","a lake","","",""
"sarg","सर्ग","a chapter","canto","",""
"sarjanshakti","सर्जनशक्ती","creativity","","",""
"sarjanshil","सर्जनशील","creative","","",""
"sardi","सर्दी","a cold","","",""
"sarp","सर्प","a snake","serpent","",""
"sarpan","सर्पण","fuel","firewood","",""
"sarpadansha","सर्पदंश","snake-bite","","",""
"sarpit","सर्पित","spiral","helical","",""
"sarpin","सर्पीण","a female snake","","",""
"sarsas","सर्रास","openly","everywhere","",""
"sarv","सर्व","all","full","whole",""
"sarvakash","सर्वकष","comprehensive","complete","exhaustive",""
"sarvajan","सर्वजण","everybody","everyone","",""
"sarvatra","सर्वत्र","all over","all over the place","",""
"sarvatha","सर्वथा","completely","","",""
"sarvadarshi","सर्वदर्शी","all-seeing","","",""
"sarvada","सर्वदा","always","","",""
"sarvadeshiy","सर्वदेशीय","cosmopolitan","","",""
"sarvanam","सर्वनाम","a pronoun","","",""
"sarvanash","सर्वनाश","total destruction","complete ruin","",""
"sarvapakshiy","सर्वपक्षीय","all-party","","",""
"sarvapratham","सर्वप्रथम","first","first of all","first thing",""
"sarvabhakshak","सर्वभक्षक","omnivorous","","",""
"sarvamanya","सर्वमान्य","generally accepted","commonly accepted","accepted",""
"sarvavyapi","सर्वव्यापी","ubiquitous","omnipresent","all-pervasive",""
"sarvashiktinishi","सर्वशिक्तिनिशी","with all one's might","strongly","forcefully",""
"sarvashaktiman","सर्वशक्तिमान","omnipotent","","",""
"sarvashri","सर्वश्री","Messrs","","",""
"sarvashreshta","सर्वश्रेष्ठ","supreme","pre-eminent","highest",""
"sarvasangatyag","सर्वसंगत्याग","asceticism","","",""
"sarvasanmat","सर्वसंमत","unanimously accepted","","",""
"sarvasamavesh","सर्वसमावेश","comprehensive","all-inclusive","all-embracing",""
"sarvasadharan","सर्वसाधारण","ordinary","normal","common",""
"sarvasamanya","सर्वसामान्य","ordinary","average","common",""
"sarvasakshi","सर्वसाक्षी","all-seeing","","",""
"sarvasva","सर्वस्व","one's everything","one's entire being","",""
"sarvasvi","सर्वस्वी","completely entirely","","",""
"sarvadyna","सर्वज्ञ","omniscient","all-knowing","",""
"sarvadynat","सर्वज्ञात","known to everyone","well known","",""
"sarvadynan","सर्वज्ञान","omniscience","","",""
"sarva","सर्वा","gleanings of corn","","",""
"sarvang","सर्वांग","the whole body","","",""
"sarvangin","सर्वांगीण","complete","exhaustive","extensive",""
"sarvadhik","सर्वाधिक","highest","most","best",""
"sarvadhikar","सर्वाधिकार","all rights","","",""
"sarvanumat","सर्वानुमत","consensus","","",""
"sarvanumate","सर्वानुमते","unanimously","with one accord","",""
"sarvannabhakshak","सर्वान्नभक्षक","omnivorous","","",""
"sarvathane","सर्वाथाने","completely","","",""
"sarvekshak","सर्वेक्षक","a surveyor","","",""
"sarvekshan","सर्वेक्षण","a surveyor","poll","opinion poll",""
"sarvochcha","सर्वोच्च","supreme","highest","most high",""
"sarvotkrushta","सर्वोत्कृष्ट","best","finest","of the highest quality",""
"sarvottam","सर्वोत्तम","best","finest","surpassing",""
"sal","सल","a grudge","","",""
"salag","सलग","consecutive","continuous","successive",""
"salagam","सलगम","a turnip","","",""
"salagi","सलगी","intimacy","over-familiarity","",""
"sanlagna","संलग्न","affiliated","attached","associated",""
"sanlagnikaran","संलग्नीकरण","affiliation","","",""
"salajja","सलज्ज","modest","bashful","",""
"salane","सलणे","to rankle","cause resentment","annoy",""
"salam","सलाम","a salute","greeting","salutation",""
"salami","सलामी","a salute","","",""
"sanlekha","संलेखा","a deed","","",""
"salokha","सलोखा","reconciliation","peace","harmony",""
"salla","सल्ला","advice","counsel","guidance",""
"sallagar","सल्लागार","an adviser","advisor","counseller",""
"sallamasalat","सल्लामसलत","consultation","discussion","",""
"savangadi","सवंगडी","a fellow","playfellow","mate",""
"savad","सवड","leisure","spare time","free time",""
"savat","सवत","a co-wife","","",""
"sanvatsar","संवत्सर","a year","","",""
"savay","सवय","a habit","wont","",""
"savarna","सवर्ण","of the same colour","of the same varna","",""
"sanvardhak","संवर्धक","nourishing","fostering","",""
"sanvardhan","संवर्धन","growth","","",""
"savalat","सवलत","a concession","discount","",""
"sava","सवा","one and a quarter","","",""
"sanvad","संवाद","dialouge","conversation","",""
"sanvadi","संवादी","harmonious","peaceful","",""
"saval","सवाल","question","","",""
"sanvidhan","संविधान","the constitution","","",""
"sanvidhanik","संविधानिक","statutory","","",""
"sanvidhi","संविधी","a statute","","",""
"savinay","सविनय","modest","humble","",""
"savistar","सविस्तर","detailed","in detail","at length",""
"sanveg","संवेग","momentum","","",""
"sanvedanashil","संवेदनशील","sensitive","","",""
"sanvedana","संवेदना","sensation","feeling","",""
"sanvedanay","संवेदनाग्र","an antenna","","",""
"sanvedanshil","संवेदनशील","sensitive","","",""
"sanvedanashunya","संवेद्नाशुन्य","numb","insensitive","",""
"sanvednaksham","संवेदनाक्षम","sensitive","susceptible","",""
"savyasachi","सव्यसाची","ambidextrous","","",""
"savyaj","सव्याज","with interest","","",""
"savva","सव्वा","one and a quarter","and a quarter","",""
"sashakt","सशक्त","strong","powerful","",""
"sanshay","संशय","suspicion","doubt","misgiving",""
"sanshayakhor","संशयखोर","suspicious","doubting","distrustful",""
"sanshayatil","संशयातील","unquestionable","indubitable","beyond question",""
"sanshayaspad","संशयास्पद","suspect","dubious","suspicious",""
"sanshayit","संशयित","suspected","a suspect","",""
"sanshayi","संशयी","sceptical","doubtful","suspicious",""
"sashart","सशर्त","conditional","qualified","",""
"sashastra","सशस्त्र","armed","","",""
"sanshodhan","संशोधन","research","study","",""
"sanshodhit","संशोधित","purified","corrected","",""
"sashram","सश्रम","rigorous imprisonment","hard labour","penal servitude",""
"sanshlen","संश्लेषण","synthesis","","",""
"sansad","संसद","the parliament","","",""
"sansarg","संसर्ग","contact","touch","infection",""
"sansargajanya","संसर्गजन्य","contagious","infectious","catching",""
"sasa","ससा","a rabbit","bunny","hare",""
"sasana","ससाणा","a falcon","hawk","",""
"sansadhan","संसाधन","resource","","",""
"sansar","संसार","the world","worldly concerns","life in this world",""
"sansari","संसारी","worldly","home-loving","domestic",""
"sasemira","ससेमिरा","relentless pursuit","","",""
"sanskar","संस्कार","breeding","conditioning","rite",""
"sanskarhin","संस्कारहीन ","uncouth","rude","rough",""
"sanskaraksham","संस्कारक्षम","formative","impressionable","",""
"sanskarit","संस्कारित","well-bred","well brought up","",""
"sanskrut","संस्कृत","the Sanskrit language","refined","cultivated",""
"sanskruti","संस्कृती","culture","civilisation","",""
"sastan","सस्तन","mammalian","viviparous","",""
"sanstha","संस्था","an institute","establishment","society",""
"sansthan","संस्थान","a small state","","",""
"sansthanik","संस्थानिक","a prince","","",""
"sansthapak","संस्थापक","a founder","father","founding father",""
"sansthapane","संस्थापणे","to found","establish","",""
"sansthapana","संस्थापना","foundation","","",""
"sansthapit","संस्थापित","founded","established","",""
"sansmaran","संस्मरण","recollection","memory","",""
"sansmaraniyaka","संस्मरणीयका","memoirs","","",""
"sansmarniy","संस्मरणीय","memorable","unforgettable","",""
"sah","सह","co-","with one accord","joint",""
"sahaparadhi","सहअपराधी","an accomplice","confederate","accessory",""
"sahakalakar","सहकलाकार","a co-star","","",""
"sahakar","सहकार","co-operation","","",""
"sahakarita","सहकारिता","co-operation","working together","",""
"sahakari","सहकारी","co-operative","a colleague","fellow-worker",""
"sahakarya","सहकार्य","co-operation","","",""
"sahakutumb","सहकुटुंब","with one's family","","",""
"sahachar","सहचर","mate","partner","companion",""
"sahacharini","सहचरिणी","wife","","",""
"sahaj","सहज","casually","lightly","easily",""
"sahajagatya","सहजगत्या","by accident","easily","casually",""
"sahajapravrutta","सहजप्रवृत्त","instinctive","","",""
"sahajapravrutti","सहजप्रवृत्ती","instinct","inborn tendency","",""
"sahajsundar","सहजसुंदर","graceful","fluent","",""
"sahajasulabh","सहजसुलभ","simple","easy","",""
"sahajsopa","सहजसोपा","simple","easy","smooth",""
"sahajdynan","सहजज्ञान","instinctive knowledge","","",""
"sahajasahaji","सहजासहजी","easily","with ease","",""
"sahajivan","सहजीवन","co-existence","","",""
"sahadharmini","सहधर्मिणी","one's wife","one's better half","other half",""
"sahan karane","सहन करणे","to bear","endure","tolerate",""
"sahanashakti","सहनशक्ती","patience","endurance","tolerance",""
"sahanshil","सहनशील","patient","tolerate","forbearing",""
"sahanirmiti","सहनिर्मिती","co-production","","",""
"sahaniy","सहनीय","tolerable","bearable","endurable",""
"sahaparivar","सहपरिवार","along with one's family","","",""
"sahapravasi","सहप्रवासी","a fellow-traveller","fellowrider","fellow passenger",""
"sahabhag","सहभाग","participation","involvement","contribution",""
"sahabhagi","सहभागी","participating","","",""
"sahamat asane","सहमत असणे","to agree","","",""
"sahmati","सहमती","agreement","unity","consent",""
"sahayog","सहयोग","co-operation","collaboration","",""
"sahayogi","सहयोगी","an associate","","",""
"saharsh","सहर्ष","with joy","with pleasure","",""
"sahal","सहल","a picnic","excursion","outing",""
"sahalekhan","सहलेखन","a co-writer","co-author","joint author",""
"sahavas","सहवास","company","companionship","society",""
"sahakshikshan","सहशिक्षण","co-education","co-ed","co-educational",""
"sahasachiv","सहसचिव","a joint secretary","","",""
"sahasanpadak","सहसंपादक","a co-editor","","",""
"sahasa","सहसा","casually","normally","usually",""
"sahastra","सहस्त्र","a thousand","","",""
"sahastrak","सहस्त्रक","a millennium","","",""
"sahakshepan","सहक्षेपन","relay","","",""
"saha","सहा","six","","",""
"sahanubhuti","सहानुभूती","sympathy","fellow feeling","understanding",""
"sahamahi","सहामाही","biannual","half-yearly","six monthly",""
"sahayak","सहायक","assistant","","",""
"sanhar","संहार","destruction","killing","carnage",""
"sanharak","संहारक","a destroyer","destructive","devastating",""
"sahit","सहित","with","","",""
"sanhita","संहिता","a code","","",""
"sahishnu","सहिष्णू","patient","tolerate","forbearing",""
"sahi","सही","a signature","","",""
"sahisalamt","सहीसलामत","scot-free","unscathed","unhurt",""
"sahrudya","सह्रदय","compassionate","kindly","kind-hearted",""
"sahetuk","सहेतुक","delibrate","purposeful","",""
"sahya","सह्य","endurable","bearable","tolerable",""
"salai","सळई","an iron bar","rod","skewer",""
"salasal (avaj)","सळसळ (आवाज)","a rustle","rustling sound","whisper",""
"saksham","सक्षम","competent","capable","able",""
"sankshipt","संक्षिप्त","brief","concise","abridged",""
"sankshep","संक्षेप","abbrevaiation","abridgement","",""
"sandyna","संज्ञा","a term","","",""
"sadynan","सज्ञान","wise","knowledgeable","major",""
"sak","साक","credit","standing","reputation",""
"sakalya","साकल्य","totality","entirely","",""
"sakalane","सकळणे","to clot","coagulate","thicken",""
"sakar","साकार","having form","having shape","",""
"sakaranr","साकारणे","to take shape","","",""
"sanketik","सांकेतिक","symbolic","coded","",""
"sakh","साख","credit","standing","reputation",""
"shakhar","साखर","sugar","","",""
"sakharpuda","साखरपुडा","betrothal","engagement","",""
"sakhalane","साखळणे","to clot","coagulate","",""
"shakhaladand","साखळदंड","shackles","","",""
"shakhali","साखळी","a chain","train","sequence",""
"sankhyik","सांख्यिक","a satistician","","",""
"sankhyikashatra","सांख्यिकशास्त्र","statistics","","",""
"sankhyiki","सांख्यिकी","statistics","","",""
"sag","साग","teak","","",""
"sangkamya","सांगकाम्या","a runner","errand boy","",""
"sangad ghalane","सांगड घालणे","to associate","","",""
"sangane","सांगणे","to tell","to narate","to cite",""
"sangata","सांगता","completeness","completion","end",""
"sagar","सागर","the sea","the ocean","",""
"sagarbandh","सागरबांध","a dike","dyke","",""
"sagari","सागरी","oceanic","nautical","marine",""
"sagavan","सागवान","teak","","",""
"sangada","सांगाडा","a skeleton","frame","framework",""
"sangati","सांगाती","a companion","","",""
"sangava","सांगावा","a message","","",""
"sangopang","संगोपांग","comprehensive and through","in-depth","",""
"sanghik","सांघिक","team","","",""
"sachane","साचणे","to accumulate","build up","gather",""
"sachavane","साचवणे","to accumulate","hoard","store",""
"sacha","साचा","a mould","cast","die",""
"sachekam","साचेकाम","casting","moulding","",""
"sacheband","साचेबंद","uniform","","",""
"saj","साज","trappings","trimmings","accoutrements",""
"sanj","सांज","evening","","",""
"sajane","साजणे","to suit","befit","become",""
"sanjasakal","सांजसकाळ","morning and evening","","",""
"sajuk","साजूक","fresh","freshly cooked","",""
"sajesa","साजेसा","fitting","befitting","becoming",""
"satelote","साटेलोटे","dealings","exchange","give and take",""
"sath","साठ","sixty","three score","",""
"sathane","साठणे","to accumulate","collect","gather",""
"sathavan","साठवण","storage","","",""
"sathavanuk","साठवणूक","storage","","",""
"sathavane","साठवणे","to accumulate","amass","hoard",""
"satha","साठा","accumulation","stock","hoard",""
"sathebaji","साठेबाजी","hoarding","","",""
"sand","सांड","a bull","a female camel","",""
"sandane","सांडणे","to spill","shed","slop",""
"sandapani","सांडपाणी","dirty water","","",""
"sandashi","सांडशी","a pair of tongs","","",""
"sadi","साडी","a sari","saree","",""
"sade","साडे","and a half","half past","half",""
"sadesati","साडेसाती","bad luck","misfortune","",""
"sat","सात","seven","","",""
"sant","सांत","finite","limited","",""
"satatya","सातत्य","continuity","persistent","",""
"satu","सातू","barely","","",""
"satvik","सात्विक","honest","virtuous","sincere",""
"santvan","सांत्वन","comfort","consolation","solace",""
"sath","साथ","company","society","accompaniment",""
"sathi","साथी","a companion","mate","friend",""
"sathicha","साथीचा","contagious","catching","",""
"sathidar","साथीदार","a companion","comrade","partner",""
"sathidari","साथीदारी","companionship","company","complicity",""
"sad","साद","a call","","",""
"sadar karane","सादर करणे","to submit","to tender","to present",""
"sadarakarta","सादरकर्ता","a presenter","host","",""
"sadarikaran","सादरीकरण","presentation","","",""
"sadrashya","सादृश्य","analogy","resemblance","similarity",""
"sadyant","साद्यंत","entire","complete","from beginning to end",""
"sandrita","सांद्रिता","moisture","","",""
"sadhakabadhak","साधकबाधक","positive and negative","plus and minus","",""
"sadhane","साधणे","to accomplish","to achieve","",""
"sandhane","सांधणे","to weld","to join","",""
"sadhan","साधन","an agent","cause","means",""
"sadhansanpatti","साधनसंपत्ती","means","resources","",""
"sadhansamagri","साधनसामग्री","equipment","tools","",""
"sadhana","साधना","penance","","",""
"sadharmya","साधर्म्य","similarity","likeness","",""
"sadha","साधा","simple","plain","unadorned",""
"sadhabhola","साधाभोळा","simple","artless","",""
"sadhar","साधार","well-founded","valid","sound",""
"sadharan","साधारण","orrdinary","so-so","average",""
"sadhasaral","साधासरळ","simple","guileless","ingenuous",""
"sadhasudha","साधासुधा","homely","simple","ordinary-looking",""
"sadhit","साधित","derived","derivative","",""
"sadhusant","साधुसंत","holy men","","",""
"sadhu","साधू","a saint","an ascetic","",""
"sandhedukhi","सांधेदुखी","arthritis","","",""
"sadhya","साध्य","an objective","goal","end",""
"sadhvi","साध्वी","a virtuous woman","a virtuous wife","",""
"sannidhya","सांनिध्य","nearness","vicinity","proximity",""
"sanunay","सानुनय","humble","modest","",""
"sanula","सानुला","small","little","tiny",""
"sannidhya","सान्निध्य","nearness","vicinity","proximity",""
"sap","साप","a snake","serpent","",""
"sapadane","सापडणे","to find","to run into","to be caught",""
"sapatna","सापत्न","step-child","discriminatory","biased",""
"sapashidi","सापशिडी","snakes and ladders","","",""
"sapala","सापळा","a trap","snare","net",""
"sapeksh","सापेक्ष","comparitive","relative","",""
"saptahik","साप्तहिक","weekly","a weekly","",""
"sanpraday","संप्रदाय","a tradition","custom","",""
"sanpradayik","सांप्रदायिक","traditional","conventional","communal",""
"saf","साफ","blank","point-black","blunt",""
"safalya","साफल्य","fruitfullness","fruition","",""
"safasafai","साफसफाई","clean-up","","",""
"saban","साबण","soap","","",""
"sabandani","साबनदाणी","a soap-case","soap dish","",""
"sabudana","साबुदाणा","sago","","",""
"sabhar","साभार","with thanks","thankfully","",""
"sanbhal","सांभाळ","maintenance","supporting","nurture",""
"sanbhalane","सांभाळणे","to look after","take care of","support",""
"sabhiman","साभिमान","proudly","","",""
"samagri","सामग्री","equipment","material","matter",""
"samanjasya","सामंजस्य","harmony","peacefulness","",""
"samantshahi","सामंतशाही","feudalism","","",""
"samanta","सामता","an auger","","",""
"samanti","समंती","feudal","","",""
"saamana","सामना","a match","contest","confrontation",""
"saamanavir","सामनावीर","a man of the match","","",""
"samayik","सामयिक","seasonal","","",""
"samarik","सामरिक","military","martial","",""
"samarthya","सामर्थ्य","ability","capability","power",""
"samarthyavan","सामर्थ्यवान","mighty","strong","powerful",""
"samasum","सामसूम","silence","calmness","dead silence",""
"samaik","समाईक","common","joint","",""
"samajik","सामाजिक","social","","",""
"saman","सामान","thingd","goods","stuff",""
"samansuman","सामानसुमान","baggage","personal belongings","traps",""
"samanya","सामन्य","common","ordinary","normal",""
"samanyatva","सामान्यत्व","mediocrity","ordinariness","",""
"samavane","सामावणे","to contain","hold","",""
"samasik","सामासिक","compound","","",""
"samipya","सामीप्य","proximity","nearness","",""
"samila karanr","सामील करणे","to embody","include","",""
"samugri","सामुग्री","equipment","material","matter",""
"samudayik","समुदायिक","collective","joint","shared",""
"samudradhuni","सामुद्रधुनी","a strait","","",""
"samudrik","सामुद्रिक","nautical","marine","",""
"samuhik","सामुहिक","communal","collective","gang",""
"samore jane","सामोरे जाणे","to face","to confront","",""
"samya","साम्य","likeness","sameness","resemblance",""
"samyavad","साम्यवाद","communism","","",""
"samyavadi","साम्यवादी","a communist","","",""
"samrajya","साम्राज्य","an empire","reign","",""
"samrajyavad","साम्राज्यवाद","imperialism","","",""
"samrajyavadi","साम्राज्यवादी","imperialist","","",""
"say","साय","cream","","",""
"sayakal","सायकल","a cycle","bicycle","tricycle",""
"sayakalasvar","सायकलस्वार","a cyclist","","",""
"sayankal","सायंकाळ","evening","","",""
"sayandainik","सायंदैनिक","an eveninger","evening newspaper","",""
"sayas","सायास","effort","exertion","",""
"sar","सार","an abstract","epitome","precis",""
"sarakha","सारखा","equal","even","similar",""
"saran","सारण","stuffing","filling","",""
"sarani","सारणी","a table","","",""
"sarane","सारणे","to push","","",""
"sarathi","सारथी","a charioteer","","",""
"saravane","सारवणे","to daub","","",""
"sara","सारा","whole","entire","all",""
"saralankar","सारालंकार","climax","","",""
"saranksha","सारांश","a summary","abstract","synopsis",""
"sarasar","सारासार","thorough","careful","",""
"sarth","सार्थ","meaningful","significant","",""
"sarthak","सार्थक","meaningful","fruitful","",""
"sarvjanik","सार्वजनिक","public","general","",""
"sarvatrik","सार्वत्रिक","universal","general","",""
"sarvabhaum","सार्वभौम","sovereign","supreme","",""
"sarvanmat","सार्वमत","referendum","plebiscite","",""
"sal","साल","peel","bark","skin",""
"salas","सालस","simple","gentle","naïve",""
"salas","साला","wife's brother","brother-in-law","",""
"Sali","साली","wife's sister","sister-in-law","",""
"savakar","सावकार","a pawn-broker","money-lender","",""
"svakash","सावकाश","slow","slowly","gently",""
"savaj","सावज","a prey","quarry","target",""
"savat","सावट","a cloud","shadow","spectre",""
"savadane","सावडणे","to collect together","","",""
"savatra","सावत्र","step-","half-","stepchild",""
"sanvatsarik","सांवत्सरिक","annual","","",""
"savadh","सावध","alert","on the alert","on the watch",""
"savadhgiri","सावधगिरी","caution","precaution","carefulness",""
"savadhan","सावधान","careful","cautious","alert",""
"savadhanata","सावधानता","caution","precaution","care",""
"savarane","सावरणे","to compose","collect","recover",""
"savali","सावली","shade","shady place","shadow",""
"savala","सावळा","dark-complexioned","blackish","",""
"savidhanik","साविधानिक","constitutional","","",""
"sanvidhik","सांविधिक","statutory","","",""
"sanshak","सांशक","suspicious","dubious","doubtful",""
"sashru","साश्रू","tearful","","",""
"sashtanganamaskar","साष्टांगनमस्कार","prostration","","",""
"sasar","सासर","father-in-law's house","","",""
"sasara","सासरा","father-in-law","","",""
"sansargik","सांसर्गिक","contagious","infectious","",""
"sansarik","संसारिक","worldly","mundane","secular",""
"sasu","सासू","mother-in-law","","",""
"sanskrutik","सांस्कृतिक","cultural","","",""
"sahacharya","साहचर्य","company","companionship","",""
"sahajik","साहजिक","understandable","natural","normal",""
"sahas","साहस","adventure","venture","courage",""
"sahasi","साहसी","adventurous","venturesome","adventuresome",""
"sahayya","साहाय्य","assistance","aid","help",""
"sahayyak","सहाय्यक","an assistant","helper","assistant",""
"sahayyakari","सहाय्यकारी","auxiliary","helpful","",""
"sahayyabhut","सहाय्यभूत","ancillary","helpful","",""
"sahitya","साहित्य","literature","material","apparatus",""
"sahityakar","साहित्यकार","a literary person","","",""
"sahityik","साहित्यिक","literary","a literary person","litterateur",""
"saheb","साहेब","officer","Mr","Sir!",""
"sahya","साह्य","help","assistance","aid",""
"sahyakari","साह्यकारी","auxiliary","","",""
"sahyabhut","साह्यभूत","helpful","ancillary","",""
"sal","साळ","paddy","unhusked rice","a porcupine",""
"salasud","साळसूद","simple","artless","naïve",""
"sala","साळा","brother-in-law","","",""
"salidar","साळींदर","a porcupine","","",""
"Sali","साळीं","sister-in-law","","",""
"salu","साळू","a hedgehog","","",""
"saksha","साक्ष","a witness","testimony","",""
"sakshar","साक्षर","literate","","",""
"sakshat","साक्षत","in the flesh","incarnate","direct",""
"sakshatkar","साक्षत्कार","a revelation","vision","",""
"sakshi","साक्षी","a witness","","",""
"sakshidar","साक्षीदार","a witness","eyewitness","",""
"sigaret","सिगारेट","a cigarette","fag","ciggy",""
"sinchan","सिंचन","sprinkling","","",""
"sidhdi","सिद्धी","ready","established","proven",""
"sidhdanta","सिद्धांता","accomplishment","readiness","preparation",""
"sidhdanta","सिद्धांत","a theory","theorem","proposition",""
"sidhdi","सिद्धी","accomplishment","fulfilment","attainment",""
"sindhu","सिंधू","the sea","","",""
"sinema","सिनेमा","cinema","the big screen","",""
"siraka","सिरका","vinegar","","",""
"sinh","सिंह","a lion","the sign Leo","",""
"sinhdvar","सिंहद्वार","the chief entrance","","",""
"sinhavalokan","सिंहावलोकन","retrospection","","",""
"sinhasan","सिंहासन","a throne","","",""
"sinhasanarohan","सिंहासनारोहण","accession to a throne","","",""
"sinhin","सिंहीण","a lioness","","",""
"sitafal","सीताफळ","a custard-apple","","",""
"sima","सीमा","a border","boundary","limit",""
"saminkan","सीमांकन","demarcation","","",""
"simapar","सीमापार","cross-border","","",""
"simaresha","सीमारेषा","the borderline","boundary line","",""
"simavarti","सीमावर्ती","situated at a frontier","","",""
"simavad","सीमावाद","a border dispute","","",""
"simashulk","सीमाशुल्क","customs","customs duty","",""
"simit","सीमित","finite","limited","bounded",""
"simollanghan","सीमोल्लंघन","crossing a frontier","","",""
"sil","सील","seal","","",""
"silband","सीलबंद","sealed","","",""
"sui","सुई","a needle","injection","",""
"suin","सूईण","a midwife","","",""
"sukata","सुकटा","dried up","emaciated","",""
"sukane","सुकणे","to dry","dry up","wither",""
"sukar","सुकर","easy","smooth","",""
"sukavane","सुकवणे","to dry","make dry","",""
"suka","सुका","dry","desiccated","",""
"sukanu","सुकाणू","a rudder","","",""
"sukanya","सुकाण्या","a helmsman","","",""
"sukal","सुकाळ","abundance","plentifulness","",""
"sukumar","सुकुमार","tendor","soft","delicate",""
"sukomal","सुकोमल","tendor","soft","delicate",""
"sukh","सुख","comfort","ease","luxury",""
"sukhakar","सुखकर","cosy","comfortable","",""
"sukhakarak","सुखकारक","pleasurable","agreeable","pleasant",""
"sukhad","सुखद","pleasurable","agreeable","pleasant",""
"sukhadayak","सुखदायक","comfortable","luxurious","",""
"sukhdukh","सुखदुःख","joy and sorrow","","",""
"sukhadukhantika","सुखदुःखांतिका","a tragicomedy","","",""
"sukhaparyavayasi","सुखपर्यवासायी","comedic","","",""
"sukhaprad","सुखप्रद","beatic","blissful","",""
"sukharup","सुखरूप","safe","safe and sound","unscathed",""
"sukhalolup","सुखलोलुप","pleasure-seeking","","",""
"sukhavastu","सुखवस्तू","comfortable","well-to-do","well-off",""
"sukhavad","सुखवाद","hedonism","","",""
"sukhavadi","सुखवादी","a hednoist","hedonistic","",""
"sukhavine","सुखविणे","to delight","please","gladden",""
"sukhashanti","सुखशांती","peace","contentment","",""
"sukhasamadhan","सुखसमाधान","contentedness","","",""
"sukhasoy","सुखसोय","a convenience","","",""
"sukhantika","सुखांतिका","a comedy","","",""
"sukhatmtika","सुखात्मिका","a comedy","","",""
"sukhavane","सुखावणे","to be delighted","","",""
"sukhavah","सुखावह","pleasing","pleasurable","",""
"sukhi","सुखी","happy","contented","blessed",""
"sungadh","सुगंध","a sweet smell","aroma","fragrance",""
"sungadhit","सुगंधित","scented","perfumed","fragrant",""
"sungadhit","सुगंधित","double typed","","",""
"sungadhi","सुगंधी","aromatic","fragrant","sweetsmelling",""
"sugam","सुगम","simple","lucid","easy to understand",""
"sugaran","सुगरण","a weaver","weaver bird","",""
"sugava","सुगावा","a clue","trace","",""
"sugi","सुगी","harvest","","",""
"sugran","सुग्रण","a weaver","weaver bird","",""
"suchane","सुचणे","to come to mind","cross one's mind","flash",""
"suchavane","सुचवणे","to suggest","apoint out","propose",""
"suchinha","सुचिन्ह","a promise","a good sign","",""
"sujane","सुजणे","to swell","to get/become swolen","to tumefy",""
"sujan","सुजाण","wise","prudent","discreaning",""
"sutaka","सुटका","freedom (from)","release","deliverance",""
"sutane","सुटणे","to escape","to drop","to depart",""
"sutasutit","सुटसुटीत","handy","neat","convenient",""
"suta","सुटा","losse","free","detached",""
"suti","सुटी","a holiday","leave","release",""
"sunth","सुंठ","ginger","dry ginger","",""
"sudaul","सुडौल","graceful","shapely","well-built",""
"sut","सुत","a son","","",""
"sutak","सुतक","mourning","","",""
"sutaki","सुतकी","mournful","gloomy","sad",""
"sutram","सुतराम","least","slightest","",""
"sutali","सुतळी","string","","",""
"sunta","सुंता","circumcision","","",""
"sutar","सुतार","a carpentar","cabinet-maker","",""
"sutarpakshi","सुतारपक्षी","a woodpecker","","",""
"suti","सुती","cotton","made of cotton","",""
"sundari","सुंदरी","a beautiful woman","","",""
"sudarshan","सुदर्शन","good-looking","beautiful","",""
"sudin","सुदिन","an auspicious day","","",""
"sudradha","सुदृढ","healthy","sound","robust",""
"sudaiv","सुदैव","luck","","",""
"sudaivi","सुदैवी","lucky","fortunate","fortuitous",""
"sudhda","सुद्धा","also","too","as well",""
"sudharane","सुधरणे","to improve","to get better","to look up",""
"sudha","सुधा","nectar","ambrosia","",""
"sudhakar","सुधाकर","the moon","","",""
"sudhar","सुधार","reform","improvement","",""
"sudharak","सुधारक","a reformer","uplifter","",""
"sudharagruha","सुधारगृह","a reformatory","","",""
"sudharana","सुधारणा","progress","improvement","reform",""
"sudharane","सुधारणे","to improve","to enhance","to recover",""
"sudharashala","सुधारशाळा","a reformatory","","",""
"sudharalay","सुधारालय","a reformatory","correction centre","",""
"sudharit","सुधारित","improved","revised","",""
"sunasan","सुनसान","calmness","silence","dead silence",""
"suna","सुना","dreary","gloomy","dull",""
"sunavani","सुनावणी","trial","hearing","",""
"sunavane","सुनावणे","to warn","admonish","",""
"sunishchit","सुनिश्चित","sure","certain","definite",""
"sunit","सुनीत","a sonnet","","",""
"sunna","सुन्न","numb","numbed","asleep",""
"suparichit","सुपरिचित","conversant","well acquanted","well-known",""
"supari","सुपारी","a betel nut","a contract","",""
"supik","सुपीक","fertile","fecund","rich",""
"suputra","सुपुत्र","a dutiful son","","",""
"supurta","सुपूर्त","to confer","to hand over","to delegate",""
"supta","सुप्त","latent","dormant","sleeping",""
"suprajajananashastra","सुप्रजाजाननशास्त्र","eugenics","","",""
"suprasidhdi","सुप्रसिद्धी","famous","famed","well-known",""
"subak","सुबक","neat","tidy","clean-cut",""
"subatta","सुबत्ता","prosperity","abundance","plenty",""
"subudhdi","सूबुद्धी","intelligent","wise","perceptive",""
